PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,162.8848421649625ms,1,1,1
20,170.93476809486407ms,2,1,1
20,162.37344990770922ms,3,1,1
40,1932.9630303098195ms,1,1,1
40,1891.1513341569084ms,2,1,1
40,2078.7273818878857ms,3,1,1
60,3120.469322431044ms,1,1,1
60,3086.8739100443ms,2,1,1
60,3065.970958042461ms,3,1,1
